 185 | 7434.25189  2.47E-24   522.22298 | 7434.25264    7   2 | 7433.49970  2.28E-24   522.22220 | 563   6   4  011210   1  7955.7219   262 | 254   7   3  000000   1   522.2222   522 | 6.5  +0.75297    1.084  1.0E-5  4.4E-4  4.4E-4
 186 | 7434.38954  5.28E-25             |                     |                                  |                                          |                                          |                                 1.4E-3
 187 | 7434.44687  3.13E-24             |                     |                                  |                                          |                                          |                                 3.6E-4
 188 | 7434.46948  8.50E-25             |                     |                                  |                                          |                                          |                                 1.8E-3
 189 | 7434.49248  1.15E-24             |                     |                                  |                                          |                                          |                                 9.5E-4
 190 | 7434.84968  2.91E-24             |                     |                                  |                                          |                                          |                                 2.5E-4
 191 | 7434.91048  6.49E-25             |                     |                                  |                                          |                                          |                                 1.1E-3
 192 | 7435.08660  6.92E-25   265.22666 | 7435.08382    9   2 | 7433.19731  6.42E-25   265.22630 | 551   4   0  110200   1  7698.4236   179 | 254   5   3  000000   1   265.2263   265 | 4.5  +1.88965    1.077  6.9E-6  1.0E-3  1.0E-3
 193 | 7435.26167  1.03E-24             |                     |                                  |                                          |                                          |                                 6.9E-4
 194 | 7435.73912  1.86E-24   423.22302 | 7435.73924   13   2 | 7434.66898  1.78E-24   423.22060 | 212   6   6  210000   0  7857.8896   231 | 551   7   6  000000   1   423.2206   423 | 6.2  +1.07256    1.047  1.1E-5  3.8E-4  3.8E-4
 195 | 7435.81023  8.81E-25             |                     |                                  |                                          |                                          |                                 8.1E-4
 196 | 7435.88448  2.30E-24   798.37464 | 7435.88520   60   2 | 7435.46397  1.67E-24   798.37220 | 333   8   4  011210   0  8233.8362   664 | 616   9   5  000000   0   798.3722   798 | 8.3  +0.42295    1.377  3.3E-4  3.1E-4  4.5E-4
 197 | 7436.08555  1.44E-24             |                     |                                  |                                          |                                          |                                 5.0E-4
 198 | 7436.13801  1.28E-23   165.33110 | 7436.13809    6   2 | 7435.84683  1.13E-23   165.33070 | 233   3   2  110202   0  7601.1776   142 | 515   4   3  000000   0   165.3307   165 | 3.2  +0.29158    1.130  5.2E-6  5.7E-5  5.7E-5
 199 | 7436.34115  2.38E-24             |                     |                                  |                                          |                                          |                                 3.0E-4
 200 | 7436.61965  3.70E-24   165.33110 | 7436.61876   26   2 | 7436.59987  3.11E-24   165.33070 | 233   4   4  110202   0  7601.9306   151 | 515   4   3  000000   0   165.3307   165 | 4.2  +0.02018    1.191  5.2E-6  1.9E-4  1.9E-4
